CustomerID,BirthDate,SSN,AccountID,AccountOpened,AccountType
0,1980,155-38-1177,88.0,2008-03-23,checking
1,no date,617-74-2429,70.0,1979-09-15,savings
2,2003-02-20,779-07-4907,,2060-08-14,checking
3,1995-03-02,641-93-8833,6.0,2017-10-18,savings
4,1955-05-22,118-52-4323,28.0,2018-05-29,savings
5,1996-08-21,168-46-4066,6.0,2028-05-10,cd
6,1961-11-12,553-45-1924,66.0,1978-04-24,checking
7,1953-10-16,325-06-3597,92.0,1963-08-29,checking
8,1986-05-10,612-78-7385,92.0,1995-05-03,savings
9,1987-12-20,631-41-9855,69.0,2002-02-06,checking
10,1950-03-05,886-50-5847,73.0,1965-07-22,cd
11,1960-12-13,686-63-6708,54.0,2005-11-19,savings
12,1960-12-02,803-72-1065,77.0,1964-11-05,savings
13,2001-09-16,555-82-1758,21.0,2009-08-28,cd
14,2004-06-26,661-35-6036,31.0,2013-05-22,checking
15,1985-04-18,338-96-9073,81.0,2002-12-13,checking
16,2002-03-04,188-14-5138,35.0,2041-04-02,savings
17,1987-08-06,396-25-4413,8.0,2059-05-14,savings
18,1956-07-15,888-67-7790,25.0,2025-12-13,cd
19,2022-05-27,689-53-4317,21.0,2042-09-25,checking
20,2009-08-17,567-11-3559,45.0,2041-06-26,checking
21,1959-06-04,356-36-0930,86.0,1995-05-31,checking
22,1971-12-07,895-94-7171,16.0,2009-06-02,cd
23,2023-07-07,216-37-3833,25.0,2093-03-22,cd
24,1987-01-24,962-79-2666,37.0,1988-09-27,savings
25,2000-03-26,546-02-3351,1.0,2011-09-11,savings
26,1965-10-12,640-05-8906,5.0,2036-01-21,savings
27,2002-12-14,401-40-5302,70.0,2071-12-05,savings
28,1970-04-02,661-61-5638,12.0,1996-11-29,checking
29,1960-09-03,757-22-7980,90.0,2016-10-11,checking
30,2005-09-22,816-15-1247,74.0,2066-04-15,checking
31,1990-04-06,958-72-5474,54.0,2018-11-30,checking
32,2014-11-01,857-37-0202,78.0,2088-11-17,cd
33,2008-04-13,344-44-3955,62.0,2064-10-23,cd
34,2019-03-14,333-80-6566,72.0,2044-03-02,checking
35,1995-08-29,928-76-1646,71.0,2066-10-13,savings
36,2019-07-31,029-11-4064,45.0,2051-03-18,checking
37,1989-08-14,116-26-0413,5.0,2014-07-28,savings
38,2006-01-30,584-37-7788,47.0,2006-05-09,cd
39,1964-08-21,993-84-4015,59.0,2029-09-18,cd
40,2014-02-11,072-85-7704,42.0,2020-07-23,savings
41,1963-01-29,689-50-8992,67.0,2036-11-29,checking
42,1987-08-04,041-94-6506,10.0,2048-08-15,checking
43,2015-04-06,199-24-9867,57.0,2050-11-30,savings
44,2013-12-20,250-33-7165,91.0,2018-05-16,checking
45,1961-04-15,898-36-3719,89.0,2020-11-29,checking
46,1952-01-07,893-94-9446,3.0,2021-10-27,cd
47,2023-07-29,014-72-0685,78.0,2044-09-15,savings
48,1962-03-20,390-77-4005,82.0,1993-09-11,checking
49,2000-04-03,874-97-6670,69.0,2038-06-10,cd
50,1981-05-23,462-66-5231,58.0,2027-01-10,checking
